Kloeckner,KCO.F,Frankfurt Stock Exchange,Klöckner & Co Se (KCO_X),FSE/KCO_X,KLKN F,133399
Infineon,IFX.F,Frankfurt Stock Exchange,Infineon Technologies Ag (IFX_X),FSE/IFX_X,IFNN Y,99763
Gea Group,G1A.F,Frankfurt Stock Exchange,Gea Group Aktiengesellschaft (G1A_X),FSE/G1A_X,GEAG Y,15169
H&r,2HR.F,Frankfurt Stock Exchange,H&r Ag (2HR_X),FSE/2HR_X,HRWS F,85290
Amadeus Fire Ag,AAD.F,Frankfurt Stock Exchange,Amadeus Fire Ag (AAD_X),FSE/AAD_X,AFGZ F,104500
Carl Zeiss Meditec,AFK.F,Frankfurt Stock Exchange,Carl Zeiss Meditec Ag (AFX_X),FSE/AFX_X,CZMW Y,105054
Adva Optical Networking,ADV.F,Frankfurt Stock Exchange,Adva Optical Networking Se (ADV_X),FSE/ADV_X,ADVO F,97967
Allianz SE,ALV.F,Frankfurt Stock Exchange,Allianz Se (ALV_X),FSE/ALV_X,AZSE Y,13611
Alstria Office,AOX.F,Frankfurt Stock Exchange,Alstria Office Reit-ag (AOX_X),FSE/AOX_X,AOX_X,131963
Airbus Group,AIR.F,Frankfurt Stock Exchange,Airbus Group (eads N.v.) (AIR_X),FSE/AIR_X,EADS Y,103714
Bayer,BAYN.F,Frankfurt Stock Exchange,Bayer Ag (BAYN_X),FSE/BAYN_X,BAYR Y,892
Aareal,ARL.F,Frankfurt Stock Exchange,Aareal Bank Ag (ARL_X),FSE/ARL_X,AAAL Y,63670
Bertrandt,BDT.F,Frankfurt Stock Exchange,Bertrandt Ag (BDT_X),FSE/BDT_X,BDGX F,97845
Aixtron,AIXA.F,Frankfurt Stock Exchange,Aixtron Se (AIXA_X),FSE/AIXA_X,AIXG,97660
Bechtle,BC8.F,Frankfurt Stock Exchange,Bechtle Ag (BC8_X),FSE/BC8_X,BECH_DEU,105073
Biotest,BIO3.F,Frankfurt Stock Exchange,Biotest Ag Vz (BIO3_X),FSE/BIO3_X,BIO_DEU,92738
BMW,BMW.F,Frankfurt Stock Exchange,Bmw Ag St (BMW_X),FSE/BMW_X,GBT,60454
Deutsche Telekom,DTE.F,Frankfurt Stock Exchange,Deutsche Telekom Ag (DTE_X),FSE/DTE_X,DTEG Y,74452
Brenntag,BNR.F,Frankfurt Stock Exchange,Brenntag Ag (BNR_X),FSE/BNR_X,BNTG F,131866
Bauer Ag,B5A.F,Frankfurt Stock Exchange,Bauer Aktiengesellschaft (B5A_X),FSE/B5A_X,BRAG F,132280
Beiersdorf,BEI.F,Frankfurt Stock Exchange,Beiersdorf Aktiengesellschaft (BEI_X),FSE/BEI_X,BDRF F,63631
Cancom,COK.F,Frankfurt Stock Exchange,Cancom Se (COK_X),FSE/COK_X,CNCX Y,137703
Celesio,CLS1.F,Frankfurt Stock Exchange,Celesio Ag (CLS1_X),FSE/CLS1_X,CAKF Y,63733
Cewe,CWC.F,Frankfurt Stock Exchange,Cewe Stiftung & Co. Kgaa (CWC_X),FSE/CWC_X,CEWC F,93451
Leg Immobilien,LEG.F,Frankfurt Stock Exchange,Leg Immobilien Ag (LEG_X),FSE/LEG_X,LEGI F,136955
Daimler,DAI.F,Frankfurt Stock Exchange,Daimler Ag (DAI_X),FSE/DAI_X,DDAI F,97009
Fuchs Petrolub,FPE3.F,Frankfurt Stock Exchange,Fuchs Petrolub Ag Vz (FPE3_X),FSE/FPE3_X,FUPB Y,71835
Baywa,BYW6.F,Frankfurt Stock Exchange,Baywa Ag Vna (BYW6_X),FSE/BYW6_X,BAYWA_DEU,31767
GFK AG,GFK.F,Frankfurt Stock Exchange,Gfk Se (GFK_X),FSE/GFK_X,GFKA F,100569
Deutsche Beteiligungs AG,DBAN.F,Frankfurt Stock Exchange,Deutsche Beteiligungs Ag (DBAN_X),FSE/DBAN_X,DEUB F,85656
Deutsche Euroshop,DEQ.F,Frankfurt Stock Exchange,Deutsche Euroshop Ag (DEQ_X),FSE/DEQ_X,DUSC F,107453
Deutsche Post AG,DPW.F,Frankfurt Stock Exchange,Deutsche Post Ag (DPW_X),FSE/DPW_X,DPSG Y,74453
Deutsche Boerse,DB1.F,Frankfurt Stock Exchange,Deutsche Börse Ag (DB1_X),FSE/DB1_X,DBOE Y,105478
Kabel Deutschland,KD8.F,Frankfurt Stock Exchange,Kabel Deutschland Holding Ag (KD8_X),FSE/KD8_X,KBDH F,131370
DIC Asset,DIC.F,Frankfurt Stock Exchange,Dic Asset Ag (DIC_X),FSE/DIC_X,DIC_DEU,131966
Compugroup Medical,COP.F,Frankfurt Stock Exchange,Compugroup Medical Ag (COP_X),FSE/COP_X,COMPU_DEU,91951
Deutsche Bank,DBK.F,Frankfurt Stock Exchange,Deutsche Bank Ag (DBK_X),FSE/DBK_X,DB,2438
Dialog Semi,DLG.F,Frankfurt Stock Exchange,Dialog Semiconductor Plc (DLG_X),FSE/DLG_X,DLGN F,101199
Draegerwerk,DRW3.F,Frankfurt Stock Exchange,Drägerwerk Ag & Co. Kgaa Vz (DRW3_X),FSE/DRW3_X,DGWP F,70367
Drillisch,DRI.F,Frankfurt Stock Exchange,Drillisch Ag (DRI_X),FSE/DRI_X,DRI,97999
CTS Eventim,EVD.F,Frankfurt Stock Exchange,Cts Eventim Ag (EVD_X),FSE/EVD_X,CEVM F,105111
Delticom,DEX.F,Frankfurt Stock Exchange,Delticom Ag (DEX_X),FSE/DEX_X,DELTI_DEU,131965
CAT Oil,O2C.F,Frankfurt Stock Exchange,C.a.t. Oil Ag (O2C_X),FSE/O2C_X,CAOJ F,130142
Fielmann,FIE.F,Frankfurt Stock Exchange,Fielmann Ag (FIE_X),FSE/FIE_X,FLMN F,93377
Freenet,FNTN.F,Frankfurt Stock Exchange,Freenet Ag (FNTN_X),FSE/FNTN_X,FRTA F,131968
Deutsche Wohnen,DWNI.F,Frankfurt Stock Exchange,Deutsche Wohnen Ag (DWNI_X),FSE/DWNI_X,DWHH F,105503
Evotec,EVT.F,Frankfurt Stock Exchange,Evotec Ag (EVT_X),FSE/EVT_X,EVTC Y,102304
Grenkeleasing,GLJ.F,Frankfurt Stock Exchange,Grenkeleasing Ag (GLJ_X),FSE/GLJ_X,GKSG F,106438
Deutz AG,DEZ.F,Frankfurt Stock Exchange,Deutz Ag (DEZ_X),FSE/DEZ_X,DEZ,20741
Fresenius SE,FRE.F,Frankfurt Stock Exchange,Fresenius Se & Co. Kgaa (FRE_X),FSE/FRE_X,FSNU Y,84862
Gerresheimer,GXI.F,Frankfurt Stock Exchange,Gerresheimer Ag (GXI_X),FSE/GXI_X,GRRM F,124864
Fraport,FRA.F,Frankfurt Stock Exchange,Fraport Ag (FRA_X),FSE/FRA_X,FPRU Y,71832
Fresenius Medical Care,FME.F,Frankfurt Stock Exchange,Fresenius Medical Care Ag & Co. Kgaa St (FME_X),FSE/FME_X,FMS,90050
Gerry Weber,GWI1.F,Frankfurt Stock Exchange,Gerry Weber International Ag (GWI1_X),FSE/GWI1_X,GW_DEU,84590
Hawesko Holding,HAW.F,Frankfurt Stock Exchange,Hawesko Holding Ag (HAW_X),FSE/HAW_X,HAW_DEU,101492
Merck KGAA,MRK.F,Frankfurt Stock Exchange,Merck Kgaa (MRK_X),FSE/MRK_X,MKGA Y,69449
Heidelberger Druckmaschinen,HDD.F,Frankfurt Stock Exchange,Heidelberger Druckmaschinen Ag (HDD_X),FSE/HDD_X,HBGR F,32423
MTU Aero Engines,MTX.F,Frankfurt Stock Exchange,Mtu Aero Engines Ag (MTX_X),FSE/MTX_X,MTUA Y,126734
Hamburger Hafen Und Logistik,HHFA.F,Frankfurt Stock Exchange,Hamburger Hafen Und Logistik Ag (HHFA_X),FSE/HHFA_X,HHUL Y,124865
Heidelbergcement,HEI.F,Frankfurt Stock Exchange,Heidelbergcement Ag (HEI_X),FSE/HEI_X,HDEL Y,34545
Henkel AG,HEN3.F,Frankfurt Stock Exchange,Henkel Ag & Co. Kgaa Vz (HEN3_X),FSE/HEN3_X,HENO Y,14769
Jenoptik AG,JEN.F,Frankfurt Stock Exchange,Jenoptik Ag (JEN_X),FSE/JEN_X,JNPK F,99092
Indus Holding AG,INH.F,Frankfurt Stock Exchange,Indus Holding Ag (INH_X),FSE/INH_X,INDUS_DEU,93368
Jungheinrich AG,JUN3.F,Frankfurt Stock Exchange,Jungheinrich Ag (JUN3_X),FSE/JUN3_X,JUNG_DEU,84602
Linde AG,LIN.F,Frankfurt Stock Exchange,Linde Ag (LIN_X),FSE/LIN_X,LNEG Y,15064
LPKF Laser & Electronics,LPK.F,Frankfurt Stock Exchange,Lpkf Laser & Electronics Ag (LPK_X),FSE/LPK_X,LPKF F,97802
Rhoen Klinikum,RHK.F,Frankfurt Stock Exchange,RhÖn-klinikum Ag (RHK_X),FSE/RHK_X,RHKJ F,91917
Metro AG,MEO.F,Frankfurt Stock Exchange,Metro Ag St (MEO_X),FSE/MEO_X,MTTR Y,92135
Mlp AG,MLP.F,Frankfurt Stock Exchange,Mlp Ag (MLP_X),FSE/MLP_X,MLPK F,85678
KWS Saat,KWS.F,Frankfurt Stock Exchange,Kws Saat Ag (KWS_X),FSE/KWS_X,KWS_DEU,88449
Morphosys AG,MOR.F,Frankfurt Stock Exchange,Morphosys Ag (MOR_X),FSE/MOR_X,MPSY Y,97965
Lanxess AG,LXS.F,Frankfurt Stock Exchange,Lanxess Ag (LXS_X),FSE/LXS_X,LNXS F,117714
Man Se,MAN.F,Frankfurt Stock Exchange,Man Se St (MAN_X),FSE/MAN_X,MAGO Y,14728
Kontron AG,KBC.F,Frankfurt Stock Exchange,Kontron Ag (KBC_X),FSE/KBC_X,KOTR F,103630
Aurubis AG,NDA.F,Frankfurt Stock Exchange,Aurubis Ag (NDA_X),FSE/NDA_X,AIAG Y,15318
